dsa,oop,dbms,os,networks,math_stats,coding_hours_week,projects_count,internships_count,ml_skill,web_skill,security_skill,design_skill,hackathons,github_repos,certifications,leadership_score,communication_score,problem_solving_score,research_interest,best_field
42.85658689609902,77.16910627235589,46.51514653937444,92.0538429336728,100.0,81.0841634071534,11,5,3,34.540685361416365,49.40269694900735,100.0,10.012091250316308,1,9,7,48.12431681416205,47.1781769245598,96.45521834431695,18.275709535571846,Cybersecurity
100.0,82.5482918237893,51.12958707448515,62.10823589069732,58.89769016335985,61.05153297084762,12,3,9,31.94111660253005,54.46982104859252,25.163650032926483,17.651287314573473,8,10,9,68.21158213450201,97.07721003127324,95.74460638883434,76.24454297304419,AI-ML
100.0,48.173213449087605,75.11318633418051,47.62584702228074,28.359055663644288,68.39222995668017,4,9,2,100.0,23.6198034750847,22.270257784689427,51.104477567730946,6,7,0,83.79243841751091,63.593988384478216,65.3098096088617,94.00215447528387,Data Science
64.06819458337486,62.59183902044583,100.0,66.91095953955961,90.04800313661713,96.3617869801497,8,0,0,26.936467351916498,36.270855724278796,42.223699189979286,27.70435011914726,9,9,4,20.50927380548123,62.31570370468919,100.0,5.326378480826975,Core CS
57.891590564798,90.0890104678866,49.72691605133814,73.75399712779725,37.06952701377571,53.05180026264293,20,9,6,83.27224980274742,35.39191469769912,18.910577777267612,36.171914001068934,0,0,5,74.10946766838248,57.524307927552755,70.22970992247281,46.09883645325616,Data Science
100.0,72.34640015404142,70.40490428903934,89.60069653502464,51.63742586055612,62.41940173972232,12,7,0,51.318549506864116,30.77813181038198,26.758004058245678,50.53084282878214,5,2,5,75.9076143549582,37.82081330495683,51.98748957777558,69.76545903712984,Data Science
96.6594565547619,88.14871875832783,46.49847742162561,56.31548597873352,89.7663843300473,57.627985544827816,10,8,0,43.230821594635096,35.45052692476076,44.96374270084623,21.11173276091872,0,0,4,39.97776212724896,70.98428624925965,82.07174690200677,37.535566924552874,Core CS
58.411717132219934,90.31113279500423,43.438998592644516,100.0,78.81831419300975,39.54957660830463,10,3,7,30.991186064224603,40.7668821980285,100.0,8.713777712795086,5,6,6,25.847732510169365,38.22094537230519,74.1044985215092,60.049685316979954,Cybersecurity
62.36668338475266,90.83288934026697,61.588284744439534,46.3965871291288,63.852412418911655,62.08906646432855,14,4,6,97.1048049384388,39.69967649505827,43.586546141603016,42.51186794115582,5,6,0,37.42562455925635,54.505955321615986,67.00599982688163,75.5126887283493,AI-ML
41.15594094687175,61.63626942973736,63.68755641600509,50.47187155495454,71.7971879136854,55.71904562688968,13,0,0,91.75895254210089,32.863475491257205,27.9747095793457,28.177096584721404,3,14,0,86.54245411005324,88.39020028914045,100.0,76.47707999952164,Data Science
